title,longLink,type
List of files,https://raw.githubusercontent.com/cbs-news-data/tv-live-graphics-links/refs/heads/main/links.xml,list_of_files
Price of eggs,https://raw.githubusercontent.com/cbs-news-data/price_tracker/refs/heads/main/data/xml/prices_eggs.xml,bar
Weekly gas prices,https://raw.githubusercontent.com/cbs-news-data/price_tracker/refs/heads/main/data/xml/weekly_gas_prices.xml,line
"West Nile virus reported cases, 2024 (binned)",https://cbs-news-data.github.io/mosquito-tracker/outputs/xml/binned.xml,map
"West Nile virus reported cases, 2024 (gradient/labeled version)",https://cbs-news-data.github.io/mosquito-tracker/outputs/xml/gradient.xml,map
Pie chart example,https://cbs-news-data.github.io/mosquito-tracker/outputs/xml/pie-chart.xml,pie
Inflation year-over-year,https://cbs-news-data.github.io/BLS-data/data/inflation_yoy.xml,line
Monthly unemployment rate,https://cbs-news-data.github.io/BLS-data/data/unemployment_rate.xml,line
Monthly changes in employment,https://cbs-news-data.github.io/BLS-data/data/monthly_employment_change.xml,bar
Historical illegal crossings along the U.S. southern border since 2022,https://cbs-news-data.github.io/border-crossings/output/xml/border-crossings.xml,line
"Reported measles cases, 2025",https://cbs-news-data.github.io/measles-tracker/output/xml/gradient.xml,map
Tornado reports Jan 1 - April 29,https://cbs-news-data.github.io/severe-weather-graphics/data/xml/tornadoes_chart.xml,bar
